Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lower dir,first projection,2025-04-01,2025-07-31,3,327931,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lower dir,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lower dir,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,all,960460,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,3+,192092,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,1,432207,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,2,336161,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,3,144069,0.15
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,4,48023,0.05
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,all,960460,1.0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,3+,192092,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,1,432207,0.45
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,2,336161,0.35
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,3,192092,0.2
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,KHYBER PAKHTUNKHWA,Lakki marwat,first projection,2025-04-01,2025-07-31,5,0,0
